document: titleLevel2,hit text: lemma,hit text: word,hit text: pos_full,count,numberOfDocs,subcorpusSize.documents,subcorpusSize.numberOfTokens
De Volkskrant,er,er,"pd(type=pers,person=3,number=pl|sg,position=pron)",225,49,63,38193
Trouw,om,om,adp(type=pre),222,49,66,33056
NRC,ook,ook,adv(),221,53,76,38378
Trouw,maar,maar,conj(type=coor),221,50,66,33056
De Volkskrant,om,om,adp(type=pre),220,50,63,38193
Algemeen Dagblad,hun,hun,"pd(type=poss,person=3,number=pl,position=prenom)",220,110,260,101023
Algemeen Dagblad,geen,geen,"pd(type=indef,position=prenom)",219,109,260,101023
NRC,om,om,adp(type=pre),217,51,76,38378
Algemeen Dagblad,die,die,"pd(type=dem,position=prenom)",217,108,260,101023
De Volkskrant,aan,aan,adp(type=pre),216,48,63,38193
Trouw,er,er,"pd(type=pers,person=3,number=pl|sg,position=pron)",214,48,66,33056
Algemeen Dagblad,meer,meer,"pd(type=indef,position=pron)",212,111,260,101023
De Volkskrant,maar,maar,conj(type=coor),209,50,63,38193
Het Parool,het,het,"pd(type=pers,person=3,gender=n,number=sg,position=pron)",205,33,36,22852
Algemeen Dagblad,tot,tot,adp(type=pre),202,126,260,101023
Het Parool,dat,dat,conj(type=sub),202,32,36,22852
Algemeen Dagblad,deze,deze,"pd(type=dem,position=prenom)",201,112,260,101023
Het Parool,met,met,adp(type=pre),201,33,36,22852
Het Parool,te,te,adp(type=pre),200,32,36,22852
Algemeen Dagblad,worden,worden,vrb(finiteness=ger|inf),200,109,260,101023
Het Parool,niet,niet,adv(),198,33,36,22852
Algemeen Dagblad,daar,daar,"pd(type=dem,position=pron)",196,100,260,101023
Het Parool,voor,voor,adp(type=pre),196,32,36,22852
Algemeen Dagblad,na,na,adp(type=pre),196,99,260,101023
Trouw,ook,ook,adv(),195,43,66,33056
NRC,zijn,zijn,"pd(type=poss,person=3,number=sg,position=prenom)",190,40,76,38378
NRC,aan,aan,adp(type=pre),189,51,76,38378
De Volkskrant,ik,ik,"pd(type=pers,person=1,number=sg,position=pron,case=nom)",189,29,63,38193
De Volkskrant,zijn,zijn,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",186,51,63,38193
De Volkskrant,zij,ze,"pd(type=pers,person=3,number=pl,position=pron)",186,36,63,38193
Algemeen Dagblad,waar,waar,"pd(type=w-p,position=pron,case=acc|dat)",182,97,260,101023
Trouw,aan,aan,adp(type=pre),178,44,66,33056
Algemeen Dagblad,weer,weer,adv(),177,84,260,101023
NRC,zijn,zijn,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",177,52,76,38378
Algemeen Dagblad,zeggen,zegt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",177,80,260,101023
Trouw,bij,bij,adp(type=pre),177,45,66,33056
Algemeen Dagblad,moeten,moet,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",177,97,260,101023
Trouw,dat,dat,"pd(type=dem,position=pron)",176,45,66,33056
De Volkskrant,hij,hij,"pd(type=pers,person=3,gender=m,number=sg,position=pron,case=nom)",175,30,63,38193
NRC,zij,ze,"pd(type=pers,person=3,number=pl,position=pron)",172,38,76,38378
Trouw,zijn,zijn,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",172,49,66,33056
De Volkskrant,ook,ook,adv(),171,51,63,38193
Algemeen Dagblad,als,als,adp(type=pre),171,95,260,101023
Algemeen Dagblad,zij,ze,"pd(type=pers,person=3,gender=f,number=sg,position=pron)",171,64,260,101023
Trouw,hij,hij,"pd(type=pers,person=3,gender=m,number=sg,position=pron,case=nom)",169,29,66,33056
Het Parool,ook,ook,adv(),167,32,36,22852
Algemeen Dagblad,van,van,nou-p(part-of-multiword=true),167,61,260,101023
Algemeen Dagblad,gemeente,gemeente,"nou-c(gender=f|m,number=sg)",167,66,260,101023
Algemeen Dagblad,kunnen,kunnen,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",165,97,260,101023
Algemeen Dagblad,foto,foto,"nou-c(gender=f|m,number=sg)",164,121,260,101023
Algemeen Dagblad,worden,werd,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",163,88,260,101023
Algemeen Dagblad,haar,haar,"pd(type=poss,person=3,number=sg,position=prenom)",163,50,260,101023
Algemeen Dagblad,zich,zich,"pd(type=refl,person=3,position=pron,case=acc|dat)",162,91,260,101023
De Volkskrant,als,als,conj(type=sub),162,39,63,38193
Algemeen Dagblad,ander,andere,"aa(degree=pos,position=prenom,formal=infl-e)",161,103,260,101023
NRC,als,als,conj(type=sub),160,43,76,38378
Trouw,zij,ze,"pd(type=pers,person=3,number=pl,position=pron)",160,38,66,33056
Het Parool,maar,maar,conj(type=coor),158,32,36,22852
De Volkskrant,door,door,adp(type=pre),157,42,63,38193
NRC,er,er,"pd(type=pers,person=3,number=pl|sg,position=pron)",157,45,76,38378
NRC,maar,maar,conj(type=coor),155,43,76,38378
Algemeen Dagblad,dit,dit,"pd(type=dem,position=prenom)",154,102,260,101023
Algemeen Dagblad,dit,dit,"pd(type=dem,position=pron)",153,88,260,101023
Algemeen Dagblad,gaan,gaat,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",152,90,260,101023
Trouw,over,over,adp(type=pre),150,46,66,33056
Het Parool,die,die,"pd(type=rel,position=pron)",149,34,36,22852
De Volkskrant,naar,naar,adp(type=pre),146,44,63,38193
Algemeen Dagblad,mijn,mijn,"pd(type=poss,person=1,number=sg,position=prenom)",146,47,260,101023
Trouw,als,als,conj(type=sub),146,43,66,33056
Algemeen Dagblad,hebben,had,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",146,64,260,101023
De Volkskrant,jij,je,"pd(type=pers,person=2,number=sg,position=pron,case=nom)",146,29,63,38193
NRC,door,door,adp(type=pre),144,48,76,38378
NRC,over,over,adp(type=pre),140,43,76,38378
De Volkskrant,zijn,zijn,"pd(type=poss,person=3,number=sg,position=prenom)",140,36,63,38193
Algemeen Dagblad,dan,dan,conj(type=sub),140,87,260,101023
De Volkskrant,zijn,was,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",138,37,63,38193
De Volkskrant,over,over,adp(type=pre),136,46,63,38193
NRC,bij,bij,adp(type=pre),135,50,76,38378
De Volkskrant,dat,dat,"pd(type=dem,position=pron)",135,47,63,38193
Het Parool,zijn,zijn,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",134,29,36,22852
Algemeen Dagblad,zijn,zijn,vrb(finiteness=ger|inf),133,85,260,101023
Algemeen Dagblad,hier,hier,"pd(type=dem,position=pron)",131,74,260,101023
Algemeen Dagblad,veel,veel,"pd(type=indef,position=prenom)",131,76,260,101023
De Volkskrant,bij,bij,adp(type=pre),131,44,63,38193
NRC,naar,naar,adp(type=pre),131,44,76,38378
Trouw,jij,je,"pd(type=pers,person=2,number=sg,position=pron,case=nom)",130,25,66,33056
Algemeen Dagblad,op,op,adp(type=post),127,80,260,101023
Algemeen Dagblad,omdat,omdat,conj(type=sub),127,85,260,101023
Algemeen Dagblad,willen,wil,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",126,76,260,101023
Het Parool,er,er,"pd(type=pers,person=3,number=pl|sg,position=pron)",126,28,36,22852
NRC,dat,dat,"pd(type=dem,position=pron)",126,39,76,38378
Algemeen Dagblad,onder,onder,adp(type=pre),124,89,260,101023
Het Parool,aan,aan,adp(type=pre),124,28,36,22852
Algemeen Dagblad,dat,dat,"pd(type=rel,position=pron)",124,88,260,101023
Trouw,zijn,was,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",124,40,66,33056
Algemeen Dagblad,alleen,alleen,adv(),124,79,260,101023
Algemeen Dagblad,zullen,zou,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",123,75,260,101023
Het Parool,om,om,adp(type=pre),123,31,36,22852
Algemeen Dagblad,hoe,hoe,adv(),123,80,260,101023
Algemeen Dagblad,twee,twee,"num(type=card,position=prenom)",123,90,260,101023
Trouw,zijn,zijn,"pd(type=poss,person=3,number=sg,position=prenom)",123,35,66,33056
NRC,zijn,was,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",122,35,76,38378
De Volkskrant,hebben,heeft,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",120,40,63,38193
Algemeen Dagblad,dus,dus,adv(),120,71,260,101023
Het Parool,zij,ze,"pd(type=pers,person=3,number=pl,position=pron)",120,28,36,22852
Algemeen Dagblad,toch,toch,adv(),118,73,260,101023
NRC,hebben,heeft,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",118,43,76,38378
Trouw,naar,naar,adp(type=pre),118,41,66,33056
Algemeen Dagblad,komen,komt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",116,74,260,101023
NRC,haar,haar,"pd(type=poss,person=3,number=sg,position=prenom)",115,22,76,38378
Het Parool,bij,bij,adp(type=pre),114,30,36,22852
Algemeen Dagblad,volgens,volgens,adp(type=pre),113,70,260,101023
NRC,jij,je,"pd(type=pers,person=2,number=sg,position=pron,case=nom)",111,31,76,38378
Algemeen Dagblad,veel,veel,"pd(type=indef,position=pron)",111,66,260,101023
Algemeen Dagblad,hebben,heb,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",110,53,260,101023
De Volkskrant,hun,hun,"pd(type=poss,person=3,number=pl,position=prenom)",110,30,63,38193
Het Parool,naar,naar,adp(type=pre),109,29,36,22852
De Volkskrant,wij,we,"pd(type=pers,person=1,number=pl,position=pron,case=nom)",109,28,63,38193
De Volkskrant,uit,uit,adp(type=pre),108,39,63,38193
Het Parool,wij,we,"pd(type=pers,person=1,number=pl,position=pron,case=nom)",108,23,36,22852
Algemeen Dagblad,zijn,ben,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",107,47,260,101023
Algemeen Dagblad,goed,goed,"aa(degree=pos,position=adv|pred)",106,66,260,101023
Algemeen Dagblad,hij,hem,"pd(type=pers,person=3,gender=m,number=sg,position=pron,case=acc|dat)",106,59,260,101023
Algemeen Dagblad,altijd,altijd,adv(),106,61,260,101023
Algemeen Dagblad,heel,heel,"aa(degree=pos,position=adv|pred)",106,61,260,101023
De Volkskrant,jaar,jaar,"nou-c(gender=n,number=sg)",105,40,63,38193
Het Parool,dat,dat,"pd(type=dem,position=pron)",105,27,36,22852
Algemeen Dagblad,nieuw,nieuwe,"aa(degree=pos,position=prenom,formal=infl-e)",104,65,260,101023
Algemeen Dagblad,uit,uit,adp(type=post),104,73,260,101023
Het Parool,jij,je,"pd(type=pers,person=2,number=sg,position=pron,case=nom)",103,21,36,22852
De Volkskrant,tot,tot,adp(type=pre),103,43,63,38193
NRC,als,als,adp(type=pre),102,40,76,38378
Algemeen Dagblad,alle,alle,"pd(type=indef,position=pron)",102,72,260,101023
NRC,of,of,conj(type=coor),101,40,76,38378
Algemeen Dagblad,die,die,"pd(type=dem,position=pron)",101,68,260,101023
NRC,ik,ik,"pd(type=pers,person=1,number=sg,position=pron,case=nom)",100,27,76,38378
Trouw,door,door,adp(type=pre),99,42,66,33056
NRC,nrc,nrc,nou-p(number=sg),99,76,76,38378
NRC,zich,zich,"pd(type=refl,person=3,position=pron,case=acc|dat)",99,41,76,38378
NRC,uit,uit,adp(type=pre),98,36,76,38378
De Volkskrant,zo,zo,adv(),98,35,63,38193
Trouw,wij,we,"pd(type=pers,person=1,number=pl,position=pron,case=nom)",98,22,66,33056
De Volkskrant,nog,nog,adv(),98,40,63,38193
Algemeen Dagblad,euro,euro,"nou-c(gender=f|m,number=sg)",97,43,260,101023
Trouw,nog,nog,adv(),97,36,66,33056
NRC,jaar,jaar,"nou-c(gender=n,number=sg)",97,34,76,38378
De Volkskrant,als,als,adp(type=pre),97,37,63,38193
Algemeen Dagblad,eerste,eerste,"num(type=ord,position=prenom)",96,63,260,101023
Het Parool,nog,nog,adv(),95,28,36,22852
Het Parool,zijn,was,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",95,28,36,22852
Algemeen Dagblad,man,man,"nou-c(gender=f|m,number=sg)",94,40,260,101023
Algemeen Dagblad,wij,wij,"pd(type=pers,person=1,number=pl,position=pron,case=nom)",94,49,260,101023
Algemeen Dagblad,groot,grote,"aa(degree=pos,position=prenom,formal=infl-e)",94,73,260,101023
NRC,meer,meer,"pd(type=indef,position=pron)",94,37,76,38378
Algemeen Dagblad,drie,drie,"num(type=card,position=prenom)",94,66,260,101023
NRC,wij,we,"pd(type=pers,person=1,number=pl,position=pron,case=nom)",94,23,76,38378
Algemeen Dagblad,worden,worden,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",94,62,260,101023
Algemeen Dagblad,zelf,zelf,adv(),94,55,260,101023
Trouw,tot,tot,adp(type=pre),93,40,66,33056
Algemeen Dagblad,maken,maken,vrb(finiteness=ger|inf),93,73,260,101023
NRC,hun,hun,"pd(type=poss,person=3,number=pl,position=prenom)",93,38,76,38378
Algemeen Dagblad,gaan,gaan,vrb(finiteness=ger|inf),92,66,260,101023
NRC,nog,nog,adv(),92,37,76,38378
NRC,zo,zo,adv(),91,34,76,38378
Algemeen Dagblad,aan,aan,adp(type=post),91,70,260,101023
NRC,tot,tot,adp(type=pre),91,38,76,38378
De Volkskrant,deze,deze,"pd(type=dem,position=prenom)",91,38,63,38193
Algemeen Dagblad,een,een,"num(type=card,position=prenom)",90,65,260,101023
De Volkskrant,nu,nu,adv(),89,36,63,38193
Algemeen Dagblad,stad,stad,"nou-c(gender=f|m,number=sg)",89,42,260,101023
De Volkskrant,of,of,conj(type=coor),88,34,63,38193
Trouw,als,als,adp(type=pre),88,30,66,33056
Algemeen Dagblad,den,den,nou-p(part-of-multiword=true),88,36,260,101023
Algemeen Dagblad,tijdens,tijdens,adp(type=pre),87,56,260,101023
Trouw,hebben,heeft,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",87,37,66,33056
Trouw,zij,ze,"pd(type=pers,person=3,gender=f,number=sg,position=pron)",87,22,66,33056
De Volkskrant,zij,ze,"pd(type=pers,person=3,gender=f,number=sg,position=pron)",87,24,63,38193
Algemeen Dagblad,mee,mee,adp(type=post),86,61,260,101023
NRC,al,al,adv(),86,33,76,38378
Trouw,of,of,conj(type=coor),86,37,66,33056
De Volkskrant,meer,meer,"pd(type=indef,position=pron)",86,42,63,38193
De Volkskrant,al,al,adv(),86,39,63,38193
Trouw,jaar,jaar,"nou-c(gender=n,number=sg)",86,31,66,33056
Trouw,dan,dan,adv(),86,32,66,33056
Algemeen Dagblad,doen,doen,vrb(finiteness=ger|inf),85,55,260,101023
Het Parool,als,als,conj(type=sub),85,31,36,22852
Algemeen Dagblad,zo'n,zo'n,"pd(type=dem,position=prenom)",85,61,260,101023
Algemeen Dagblad,want,want,conj(type=coor),85,56,260,101023
Het Parool,hij,hij,"pd(type=pers,person=3,gender=m,number=sg,position=pron,case=nom)",85,17,36,22852
Algemeen Dagblad,tegen,tegen,adp(type=pre),84,49,260,101023
Trouw,zich,zich,"pd(type=refl,person=3,position=pron,case=acc|dat)",84,36,66,33056
De Volkskrant,zich,zich,"pd(type=refl,person=3,position=pron,case=acc|dat)",84,35,63,38193
De Volkskrant,worden,worden,vrb(finiteness=ger|inf),83,36,63,38193
Trouw,wel,wel,adv(),83,38,66,33056
Algemeen Dagblad,staan,staat,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",83,57,260,101023
Algemeen Dagblad,nederland,nederland,nou-p(number=sg),83,45,260,101023
Algemeen Dagblad,keer,keer,"nou-c(gender=f|m|n,number=sg)",83,52,260,101023
NRC,2024,2024,"num(type=card,position=oth|pred)",82,76,76,38378
Trouw,geen,geen,"pd(type=indef,position=prenom)",81,35,66,33056
Trouw,al,al,adv(),81,38,66,33056
Algemeen Dagblad,moeten,moeten,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",81,64,260,101023
Trouw,haar,haar,"pd(type=poss,person=3,number=sg,position=prenom)",81,21,66,33056
De Volkskrant,zeggen,zegt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",81,25,63,38193
Algemeen Dagblad,toen,toen,conj(type=sub),81,58,260,101023
Algemeen Dagblad,jaar,jaren,nou-c(number=pl),80,52,260,101023
Algemeen Dagblad,ons,onze,"pd(type=poss,person=1,number=pl,position=prenom)",80,47,260,101023
Algemeen Dagblad,iets,iets,"pd(type=indef,position=pron)",80,45,260,101023
De Volkskrant,worden,wordt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",80,39,63,38193
NRC,dat,dat,"pd(type=rel,position=pron)",80,40,76,38378
Het Parool,door,door,adp(type=pre),80,29,36,22852
NRC,zij,ze,"pd(type=pers,person=3,gender=f,number=sg,position=pron)",79,20,76,38378
Trouw,nu,nu,adv(),78,33,66,33056
Algemeen Dagblad,komen,kwam,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",78,53,260,101023
De Volkskrant,worden,werd,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",78,29,63,38193
Algemeen Dagblad,mei,mei,nou-p(number=sg),78,44,260,101023
NRC,wat,wat,"pd(type=w-p,position=pron)",78,32,76,38378
NRC,_none_,©,res(type=sym),78,76,76,38378
NRC,worden,wordt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",78,36,76,38378
Algemeen Dagblad,echt,echt,"aa(degree=pos,position=adv|pred)",78,42,260,101023
Algemeen Dagblad,willen,willen,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",77,48,260,101023
De Volkskrant,geen,geen,"pd(type=indef,position=prenom)",77,31,63,38193
De Volkskrant,dan,dan,adv(),77,32,63,38193
De Volkskrant,hebben,hebben,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",77,31,63,38193
NRC,deze,deze,"pd(type=dem,position=prenom)",76,28,76,38378
Trouw,meer,meer,"pd(type=indef,position=pron)",76,33,66,33056
NRC,kunnen,kan,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",76,27,76,38378
Algemeen Dagblad,tijd,tijd,"nou-c(gender=f|m,number=sg)",76,51,260,101023
De Volkskrant,haar,haar,"pd(type=poss,person=3,number=sg,position=prenom)",76,21,63,38193
Trouw,kunnen,kan,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",76,31,66,33056
De Volkskrant,onder,onder,adp(type=pre),76,40,63,38193
Algemeen Dagblad,vaak,vaak,"aa(degree=pos,position=adv|pred)",76,49,260,101023
Trouw,uit,uit,adp(type=pre),75,37,66,33056
Trouw,die,die,"pd(type=dem,position=prenom)",75,35,66,33056
Algemeen Dagblad,net,net,adv(),75,53,260,101023
Algemeen Dagblad,wat,wat,"pd(type=indef,position=pron)",75,43,260,101023
Algemeen Dagblad,ons,ons,"pd(type=pers|refl,person=1,number=pl,position=pron,case=acc|dat)",75,43,260,101023
De Volkskrant,die,die,"pd(type=dem,position=prenom)",75,30,63,38193
Het Parool,zij,ze,"pd(type=pers,person=3,gender=f,number=sg,position=pron)",75,17,36,22852
Algemeen Dagblad,steeds,steeds,adv(),74,54,260,101023
Trouw,hebben,hebben,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",74,32,66,33056
Trouw,mens,mensen,nou-c(number=pl),74,28,66,33056
Algemeen Dagblad,tussen,tussen,adp(type=pre),74,57,260,101023
Algemeen Dagblad,politie,politie,"nou-c(gender=f|m,number=sg)",73,36,260,101023
De Volkskrant,wel,wel,adv(),72,33,63,38193
Algemeen Dagblad,ik,me,"pd(type=pers|refl,person=1,number=sg,position=pron,case=acc|dat)",72,32,260,101023
