document: titleLevel2,hit text: lemma,hit text: word,hit text: pos_full,count,numberOfDocs,subcorpusSize.documents,subcorpusSize.numberOfTokens
Algemeen Dagblad,zijn,zijn,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",429,140,248,83680
Het Parool,het,het,"pd(type=d-p,subtype=art-def)",427,33,34,18841
Algemeen Dagblad,wij,we,"pd(type=pers,person=1,number=pl,position=pron,case=nom)",424,100,248,83680
Algemeen Dagblad,aan,aan,adp(type=pre),416,162,248,83680
NRC,op,op,adp(type=pre),400,41,53,35488
Algemeen Dagblad,dat,dat,"pd(type=dem,position=pron)",372,129,248,83680
Algemeen Dagblad,naar,naar,adp(type=pre),372,134,248,83680
De Volkskrant,zijn,is,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",368,50,57,29860
NRC,met,met,adp(type=pre),366,39,53,35488
Het Parool,en,en,conj(type=coor),359,33,34,18841
Algemeen Dagblad,als,als,conj(type=sub),330,120,248,83680
Algemeen Dagblad,nog,nog,adv(),327,132,248,83680
Trouw,zijn,is,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",314,42,47,23970
De Volkskrant,op,op,adp(type=pre),312,50,57,29860
NRC,te,te,adp(type=pre),309,38,53,35488
NRC,voor,voor,adp(type=pre),305,41,53,35488
De Volkskrant,met,met,adp(type=pre),301,49,57,29860
Algemeen Dagblad,zijn,zijn,"pd(type=poss,person=3,number=sg,position=prenom)",291,96,248,83680
Algemeen Dagblad,jaar,jaar,"nou-c(gender=n,number=sg)",290,117,248,83680
Algemeen Dagblad,hebben,heeft,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",285,121,248,83680
Algemeen Dagblad,zij,ze,"pd(type=pers,person=3,number=pl,position=pron)",280,102,248,83680
Algemeen Dagblad,zijn,was,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",268,111,248,83680
De Volkskrant,te,te,adp(type=pre),268,46,57,29860
Trouw,te,te,adp(type=pre),263,38,47,23970
NRC,die,die,"pd(type=rel,position=pron)",263,37,53,35488
Het Parool,zijn,is,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",261,30,34,18841
Trouw,op,op,adp(type=pre),259,40,47,23970
De Volkskrant,voor,voor,adp(type=pre),253,51,57,29860
Algemeen Dagblad,al,al,adv(),249,119,248,83680
NRC,ik,ik,"pd(type=pers,person=1,number=sg,position=pron,case=nom)",245,17,53,35488
Algemeen Dagblad,door,door,adp(type=pre),239,120,248,83680
NRC,het,het,"pd(type=pers,person=3,gender=n,number=sg,position=pron)",237,36,53,35488
Trouw,met,met,adp(type=pre),235,38,47,23970
Algemeen Dagblad,of,of,conj(type=coor),221,99,248,83680
NRC,niet,niet,adv(),219,34,53,35488
Algemeen Dagblad,wel,wel,adv(),218,105,248,83680
Algemeen Dagblad,meer,meer,"pd(type=indef,position=pron)",216,110,248,83680
Algemeen Dagblad,over,over,adp(type=pre),213,108,248,83680
Het Parool,op,op,adp(type=pre),212,34,34,18841
De Volkskrant,het,het,"pd(type=pers,person=3,gender=n,number=sg,position=pron)",212,44,57,29860
De Volkskrant,die,die,"pd(type=rel,position=pron)",209,47,57,29860
Algemeen Dagblad,nu,nu,adv(),208,97,248,83680
Algemeen Dagblad,kunnen,kan,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",207,99,248,83680
NRC,dat,dat,conj(type=sub),207,35,53,35488
Algemeen Dagblad,hebben,hebben,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",204,90,248,83680
De Volkskrant,niet,niet,adv(),203,43,57,29860
Algemeen Dagblad,mens,mensen,nou-c(number=pl),198,78,248,83680
Algemeen Dagblad,geen,geen,"pd(type=indef,position=prenom)",198,99,248,83680
Algemeen Dagblad,zij,ze,"pd(type=pers,person=3,gender=f,number=sg,position=pron)",196,58,248,83680
Algemeen Dagblad,worden,wordt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",194,95,248,83680
Algemeen Dagblad,dan,dan,adv(),192,94,248,83680
Algemeen Dagblad,tot,tot,adp(type=pre),191,103,248,83680
NRC,om,om,adp(type=pre),190,38,53,35488
Trouw,niet,niet,adv(),188,33,47,23970
NRC,aan,aan,adp(type=pre),188,35,53,35488
Trouw,dat,dat,conj(type=sub),187,40,47,23970
Algemeen Dagblad,haar,haar,"pd(type=poss,person=3,number=sg,position=prenom)",185,43,248,83680
NRC,maar,maar,conj(type=coor),185,35,53,35488
Algemeen Dagblad,zo,zo,adv(),185,97,248,83680
Trouw,voor,voor,adp(type=pre),184,38,47,23970
Algemeen Dagblad,uit,uit,adp(type=pre),183,108,248,83680
Het Parool,te,te,adp(type=pre),181,31,34,18841
De Volkskrant,dat,dat,conj(type=sub),181,49,57,29860
Algemeen Dagblad,wat,wat,"pd(type=w-p,position=pron)",179,87,248,83680
Het Parool,met,met,adp(type=pre),178,31,34,18841
Algemeen Dagblad,die,die,"pd(type=dem,position=prenom)",177,89,248,83680
NRC,ook,ook,adv(),174,39,53,35488
NRC,zij,ze,"pd(type=pers,person=3,number=pl,position=pron)",173,25,53,35488
De Volkskrant,er,er,"pd(type=pers,person=3,number=pl|sg,position=pron)",170,42,57,29860
De Volkskrant,maar,maar,conj(type=coor),169,45,57,29860
De Volkskrant,om,om,adp(type=pre),169,41,57,29860
NRC,zijn,zijn,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",167,34,53,35488
NRC,er,er,"pd(type=pers,person=3,number=pl|sg,position=pron)",165,34,53,35488
Algemeen Dagblad,gaan,gaat,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",162,98,248,83680
NRC,door,door,adp(type=pre),162,36,53,35488
Trouw,het,het,"pd(type=pers,person=3,gender=n,number=sg,position=pron)",162,35,47,23970
Algemeen Dagblad,moeten,moet,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",160,87,248,83680
Trouw,die,die,"pd(type=rel,position=pron)",157,39,47,23970
Algemeen Dagblad,waar,waar,"pd(type=w-p,position=pron,case=acc|dat)",155,88,248,83680
Algemeen Dagblad,na,na,adp(type=pre),154,88,248,83680
Algemeen Dagblad,deze,deze,"pd(type=dem,position=prenom)",153,95,248,83680
NRC,als,als,conj(type=sub),151,33,53,35488
De Volkskrant,ook,ook,adv(),151,40,57,29860
Het Parool,dat,dat,conj(type=sub),150,30,34,18841
NRC,nog,nog,adv(),149,35,53,35488
Het Parool,die,die,"pd(type=rel,position=pron)",149,31,34,18841
De Volkskrant,aan,aan,adp(type=pre),147,42,57,29860
Algemeen Dagblad,zich,zich,"pd(type=refl,person=3,position=pron,case=acc|dat)",147,84,248,83680
Algemeen Dagblad,zeggen,zegt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",146,70,248,83680
Het Parool,het,het,"pd(type=pers,person=3,gender=n,number=sg,position=pron)",146,28,34,18841
De Volkskrant,zijn,zijn,"pd(type=poss,person=3,number=sg,position=prenom)",145,33,57,29860
De Volkskrant,hij,hij,"pd(type=pers,person=3,gender=m,number=sg,position=pron,case=nom)",144,29,57,29860
Trouw,ik,ik,"pd(type=pers,person=1,number=sg,position=pron,case=nom)",143,17,47,23970
NRC,jaar,jaar,"nou-c(gender=n,number=sg)",143,32,53,35488
De Volkskrant,zijn,zijn,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",142,39,57,29860
Algemeen Dagblad,daar,daar,"pd(type=dem,position=pron)",141,79,248,83680
NRC,bij,bij,adp(type=pre),141,36,53,35488
Trouw,ook,ook,adv(),140,37,47,23970
NRC,dat,dat,"pd(type=dem,position=pron)",140,34,53,35488
Algemeen Dagblad,als,als,adp(type=pre),137,78,248,83680
Het Parool,maar,maar,conj(type=coor),136,30,34,18841
Algemeen Dagblad,hun,hun,"pd(type=poss,person=3,number=pl,position=prenom)",136,74,248,83680
Trouw,om,om,adp(type=pre),135,34,47,23970
De Volkskrant,bij,bij,adp(type=pre),134,39,57,29860
Het Parool,ook,ook,adv(),132,28,34,18841
Algemeen Dagblad,kunnen,kunnen,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",130,84,248,83680
Trouw,er,er,"pd(type=pers,person=3,number=pl|sg,position=pron)",130,35,47,23970
Algemeen Dagblad,dus,dus,adv(),129,71,248,83680
Algemeen Dagblad,ander,andere,"aa(degree=pos,position=prenom,formal=infl-e)",128,85,248,83680
NRC,naar,naar,adp(type=pre),128,36,53,35488
Het Parool,voor,voor,adp(type=pre),128,28,34,18841
Algemeen Dagblad,dit,dit,"pd(type=dem,position=prenom)",127,76,248,83680
Algemeen Dagblad,nederland,nederland,nou-p(number=sg),126,55,248,83680
NRC,jij,je,"pd(type=pers,person=2,number=sg,position=pron,case=nom)",125,22,53,35488
De Volkskrant,ik,ik,"pd(type=pers,person=1,number=sg,position=pron,case=nom)",124,17,57,29860
Algemeen Dagblad,mijn,mijn,"pd(type=poss,person=1,number=sg,position=prenom)",124,42,248,83680
Algemeen Dagblad,nieuw,nieuwe,"aa(degree=pos,position=prenom,formal=infl-e)",124,70,248,83680
Trouw,aan,aan,adp(type=pre),123,35,47,23970
Het Parool,niet,niet,adv(),123,29,34,18841
Algemeen Dagblad,zijn,zijn,vrb(finiteness=ger|inf),123,80,248,83680
NRC,over,over,adp(type=pre),122,35,53,35488
Trouw,maar,maar,conj(type=coor),121,35,47,23970
Algemeen Dagblad,worden,worden,vrb(finiteness=ger|inf),120,74,248,83680
Het Parool,er,er,"pd(type=pers,person=3,number=pl|sg,position=pron)",120,29,34,18841
Algemeen Dagblad,worden,werd,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",119,81,248,83680
De Volkskrant,zijn,was,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",119,39,57,29860
Algemeen Dagblad,weer,weer,adv(),119,67,248,83680
Algemeen Dagblad,tegen,tegen,adp(type=pre),119,54,248,83680
Algemeen Dagblad,foto,foto,"nou-c(gender=f|m,number=sg)",119,98,248,83680
NRC,zijn,zijn,"pd(type=poss,person=3,number=sg,position=prenom)",119,26,53,35488
Algemeen Dagblad,zullen,zou,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",119,63,248,83680
Het Parool,ik,ik,"pd(type=pers,person=1,number=sg,position=pron,case=nom)",118,18,34,18841
De Volkskrant,jaar,jaar,"nou-c(gender=n,number=sg)",118,34,57,29860
Trouw,wij,we,"pd(type=pers,person=1,number=pl,position=pron,case=nom)",117,23,47,23970
Algemeen Dagblad,dan,dan,conj(type=sub),116,70,248,83680
De Volkskrant,naar,naar,adp(type=pre),116,45,57,29860
NRC,zijn,was,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",115,31,53,35488
Trouw,naar,naar,adp(type=pre),113,31,47,23970
Algemeen Dagblad,hebben,heb,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",113,56,248,83680
Algemeen Dagblad,willen,wil,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",112,68,248,83680
Algemeen Dagblad,twee,twee,"num(type=card,position=prenom)",111,67,248,83680
NRC,hij,hij,"pd(type=pers,person=3,gender=m,number=sg,position=pron,case=nom)",110,30,53,35488
Het Parool,hij,hij,"pd(type=pers,person=3,gender=m,number=sg,position=pron,case=nom)",110,24,34,18841
Algemeen Dagblad,hebben,had,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",109,58,248,83680
De Volkskrant,als,als,conj(type=sub),109,34,57,29860
Algemeen Dagblad,veel,veel,"pd(type=indef,position=prenom)",109,69,248,83680
Trouw,zijn,zijn,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",109,32,47,23970
Algemeen Dagblad,goed,goed,"aa(degree=pos,position=adv|pred)",108,59,248,83680
NRC,wij,we,"pd(type=pers,person=1,number=pl,position=pron,case=nom)",108,22,53,35488
De Volkskrant,over,over,adp(type=pre),107,41,57,29860
Algemeen Dagblad,van,van,nou-p(part-of-multiword=true),105,50,248,83680
NRC,meer,meer,"pd(type=indef,position=pron)",104,31,53,35488
NRC,of,of,conj(type=coor),104,32,53,35488
Het Parool,om,om,adp(type=pre),103,29,34,18841
Het Parool,als,als,conj(type=sub),102,30,34,18841
Trouw,zij,ze,"pd(type=pers,person=3,number=pl,position=pron)",100,26,47,23970
NRC,hun,hun,"pd(type=poss,person=3,number=pl,position=prenom)",100,21,53,35488
NRC,al,al,adv(),98,31,53,35488
Trouw,hij,hij,"pd(type=pers,person=3,gender=m,number=sg,position=pron,case=nom)",98,29,47,23970
Het Parool,wij,we,"pd(type=pers,person=1,number=pl,position=pron,case=nom)",98,19,34,18841
De Volkskrant,nog,nog,adv(),97,40,57,29860
Algemeen Dagblad,uur,uur,"nou-c(gender=n,number=sg)",97,56,248,83680
NRC,uit,uit,adp(type=pre),97,36,53,35488
Algemeen Dagblad,dat,dat,"pd(type=rel,position=pron)",97,70,248,83680
NRC,hebben,heeft,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",96,34,53,35488
Trouw,door,door,adp(type=pre),96,30,47,23970
Algemeen Dagblad,onder,onder,adp(type=pre),95,71,248,83680
Algemeen Dagblad,op,op,adp(type=post),95,69,248,83680
De Volkskrant,door,door,adp(type=pre),95,38,57,29860
Het Parool,zijn,was,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",94,25,34,18841
Algemeen Dagblad,dit,dit,"pd(type=dem,position=pron)",94,73,248,83680
Algemeen Dagblad,komen,komt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",93,66,248,83680
Algemeen Dagblad,groot,grote,"aa(degree=pos,position=prenom,formal=infl-e)",92,65,248,83680
Algemeen Dagblad,gemeente,gemeente,"nou-c(gender=f|m,number=sg)",92,45,248,83680
Trouw,of,of,conj(type=coor),91,30,47,23970
Algemeen Dagblad,eerste,eerste,"num(type=ord,position=prenom)",91,49,248,83680
Algemeen Dagblad,uit,uit,adp(type=post),91,66,248,83680
Algemeen Dagblad,want,want,conj(type=coor),91,64,248,83680
De Volkskrant,hebben,heeft,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",90,34,57,29860
Het Parool,dat,dat,"pd(type=dem,position=pron)",90,25,34,18841
De Volkskrant,dat,dat,"pd(type=dem,position=pron)",89,36,57,29860
Trouw,dat,dat,"pd(type=dem,position=pron)",89,29,47,23970
Algemeen Dagblad,hier,hier,"pd(type=dem,position=pron)",89,46,248,83680
Algemeen Dagblad,omdat,omdat,conj(type=sub),88,58,248,83680
NRC,mijn,mijn,"pd(type=poss,person=1,number=sg,position=prenom)",88,11,53,35488
Algemeen Dagblad,volgens,volgens,adp(type=pre),88,59,248,83680
Algemeen Dagblad,heel,heel,"aa(degree=pos,position=adv|pred)",88,60,248,83680
Het Parool,zijn,zijn,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",88,25,34,18841
Algemeen Dagblad,gaan,gaan,vrb(finiteness=ger|inf),87,62,248,83680
Het Parool,jij,je,"pd(type=pers,person=2,number=sg,position=pron,case=nom)",87,21,34,18841
Algemeen Dagblad,hij,hem,"pd(type=pers,person=3,gender=m,number=sg,position=pron,case=acc|dat)",86,45,248,83680
NRC,zo,zo,adv(),86,30,53,35488
De Volkskrant,als,als,adp(type=pre),85,33,57,29860
De Volkskrant,zij,ze,"pd(type=pers,person=3,number=pl,position=pron)",84,27,57,29860
Trouw,bij,bij,adp(type=pre),84,30,47,23970
De Volkskrant,of,of,conj(type=coor),84,28,57,29860
Trouw,zijn,was,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",84,26,47,23970
Algemeen Dagblad,keer,keer,"nou-c(gender=f|m|n,number=sg)",84,46,248,83680
Algemeen Dagblad,drie,drie,"num(type=card,position=prenom)",83,63,248,83680
NRC,geen,geen,"pd(type=indef,position=prenom)",83,27,53,35488
Algemeen Dagblad,per,per,adp(type=pre),83,47,248,83680
Algemeen Dagblad,een,een,"num(type=card,position=prenom)",82,56,248,83680
NRC,als,als,adp(type=pre),82,30,53,35488
NRC,zij,ze,"pd(type=pers,person=3,gender=f,number=sg,position=pron)",82,18,53,35488
Algemeen Dagblad,toch,toch,adv(),82,51,248,83680
Algemeen Dagblad,aan,aan,adp(type=post),81,67,248,83680
Trouw,jaar,jaar,"nou-c(gender=n,number=sg)",81,23,47,23970
Het Parool,aan,aan,adp(type=pre),81,24,34,18841
Algemeen Dagblad,hoe,hoe,adv(),81,55,248,83680
Het Parool,naar,naar,adp(type=pre),80,28,34,18841
De Volkskrant,uit,uit,adp(type=pre),80,33,57,29860
Trouw,als,als,conj(type=sub),80,29,47,23970
Algemeen Dagblad,veel,veel,"pd(type=indef,position=pron)",79,54,248,83680
De Volkskrant,wij,we,"pd(type=pers,person=1,number=pl,position=pron,case=nom)",78,27,57,29860
De Volkskrant,hun,hun,"pd(type=poss,person=3,number=pl,position=prenom)",78,25,57,29860
Algemeen Dagblad,doen,doen,vrb(finiteness=ger|inf),78,52,248,83680
De Volkskrant,zo,zo,adv(),78,33,57,29860
Algemeen Dagblad,worden,worden,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",77,59,248,83680
Algemeen Dagblad,altijd,altijd,adv(),77,45,248,83680
NRC,worden,wordt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",76,28,53,35488
Het Parool,bij,bij,adp(type=pre),76,25,34,18841
NRC,zeggen,zegt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",76,18,53,35488
Algemeen Dagblad,terug,terug,adv(),76,42,248,83680
Trouw,jij,je,"pd(type=pers,person=2,number=sg,position=pron,case=nom)",76,18,47,23970
Algemeen Dagblad,mee,mee,adp(type=post),76,56,248,83680
De Volkskrant,al,al,adv(),75,35,57,29860
Algemeen Dagblad,den,den,nou-p(part-of-multiword=true),75,42,248,83680
Algemeen Dagblad,euro,euro,"nou-c(gender=f|m,number=sg)",75,36,248,83680
De Volkskrant,meer,meer,"pd(type=indef,position=pron)",75,32,57,29860
De Volkskrant,zich,zich,"pd(type=refl,person=3,position=pron,case=acc|dat)",74,35,57,29860
Het Parool,zij,ze,"pd(type=pers,person=3,number=pl,position=pron)",74,22,34,18841
Algemeen Dagblad,alle,alle,"pd(type=indef,position=pron)",73,49,248,83680
NRC,nu,nu,adv(),73,25,53,35488
Het Parool,zijn,zijn,"pd(type=poss,person=3,number=sg,position=prenom)",73,21,34,18841
Trouw,over,over,adp(type=pre),73,31,47,23970
Trouw,als,als,adp(type=pre),73,31,47,23970
Algemeen Dagblad,rotterdam,rotterdam,nou-p(number=sg),72,29,248,83680
Algemeen Dagblad,maken,maken,vrb(finiteness=ger|inf),72,56,248,83680
Algemeen Dagblad,zo'n,zo'n,"pd(type=dem,position=prenom)",72,48,248,83680
NRC,tot,tot,adp(type=pre),72,30,53,35488
NRC,haar,haar,"pd(type=poss,person=3,number=sg,position=prenom)",71,18,53,35488
NRC,zich,zich,"pd(type=refl,person=3,position=pron,case=acc|dat)",71,28,53,35488
NRC,kunnen,kan,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",71,21,53,35488
NRC,deze,deze,"pd(type=dem,position=prenom)",70,23,53,35488
NRC,nrc,nrc,nou-p(number=sg),70,53,53,35488
De Volkskrant,die,die,"pd(type=dem,position=prenom)",70,29,57,29860
De Volkskrant,tot,tot,adp(type=pre),70,32,57,29860
Algemeen Dagblad,iets,iets,"pd(type=indef,position=pron)",70,47,248,83680
NRC,dan,dan,adv(),69,24,53,35488
Algemeen Dagblad,alleen,alleen,adv(),69,53,248,83680
De Volkskrant,worden,wordt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",69,29,57,29860
Algemeen Dagblad,jaar,jaren,nou-c(number=pl),69,48,248,83680
Algemeen Dagblad,zelf,zelf,adv(),68,51,248,83680
Het Parool,door,door,adp(type=pre),68,25,34,18841
Algemeen Dagblad,staan,staat,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",68,50,248,83680
Algemeen Dagblad,nodig,nodig,"aa(degree=pos,position=adv|pred)",67,40,248,83680
Trouw,meer,meer,"pd(type=indef,position=pron)",66,30,47,23970
De Volkskrant,na,na,adp(type=pre),66,25,57,29860
NRC,die,die,"pd(type=dem,position=prenom)",66,27,53,35488
Algemeen Dagblad,tussen,tussen,adp(type=pre),66,47,248,83680
Het Parool,hebben,heeft,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",65,26,34,18841
Het Parool,jaar,jaar,"nou-c(gender=n,number=sg)",65,22,34,18841
NRC,worden,werd,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",65,27,53,35488
Algemeen Dagblad,zijn,ben,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",65,36,248,83680
Algemeen Dagblad,zijn,waren,"vrb(finiteness=fin,mood=ind,tense=past,number=pl)",65,45,248,83680
Algemeen Dagblad,weten,weet,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",65,45,248,83680
Algemeen Dagblad,miljoen,miljoen,"nou-c(gender=n,number=sg)",65,18,248,83680
Algemeen Dagblad,ons,onze,"pd(type=poss,person=1,number=pl,position=prenom)",65,35,248,83680
Trouw,hun,hun,"pd(type=poss,person=3,number=pl,position=prenom)",65,25,47,23970
De Volkskrant,deze,deze,"pd(type=dem,position=prenom)",65,31,57,29860
Algemeen Dagblad,kind,kinderen,nou-c(number=pl),64,31,248,83680
Trouw,wat,wat,"pd(type=w-p,position=pron)",64,28,47,23970
Algemeen Dagblad,tijdens,tijdens,adp(type=pre),64,43,248,83680
NRC,hebben,hebben,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",64,26,53,35488
Trouw,mijn,mijn,"pd(type=poss,person=1,number=sg,position=prenom)",64,9,47,23970
Trouw,hebben,heeft,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",63,30,47,23970
NRC,wel,wel,adv(),63,28,53,35488
Algemeen Dagblad,kunnen,kunnen,vrb(finiteness=ger|inf),63,53,248,83680
Algemeen Dagblad,vooral,vooral,adv(),63,45,248,83680
Algemeen Dagblad,steeds,steeds,adv(),63,40,248,83680
Algemeen Dagblad,mogen,mag,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",63,33,248,83680
Trouw,zijn,zijn,"pd(type=poss,person=3,number=sg,position=prenom)",63,20,47,23970
Algemeen Dagblad,meer,meer,"pd(type=indef,position=prenom)",62,37,248,83680
NRC,dan,dan,conj(type=sub),62,26,53,35488
NRC,mens,mensen,nou-c(number=pl),62,20,53,35488
NRC,hoe,hoe,adv(),62,21,53,35488
Het Parool,over,over,adp(type=pre),62,21,34,18841
Algemeen Dagblad,in,in,adp(type=post),62,45,248,83680
Trouw,nog,nog,adv(),62,26,47,23970
Het Parool,nog,nog,adv(),61,19,34,18841
Algemeen Dagblad,wie,wie,"pd(type=w-p,position=pron)",61,41,248,83680
Algemeen Dagblad,snel,snel,"aa(degree=pos,position=adv|pred)",61,42,248,83680
Algemeen Dagblad,nooit,nooit,adv(),61,39,248,83680
NRC,na,na,adp(type=pre),60,27,53,35488
Trouw,mens,mensen,nou-c(number=pl),60,18,47,23970
Het Parool,worden,wordt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",60,22,34,18841
NRC,2024,2024,"num(type=card,position=oth|pred)",60,53,53,35488
Algemeen Dagblad,jouw,je,"pd(type=poss,person=2,number=sg,position=prenom)",59,30,248,83680
De Volkskrant,zij,ze,"pd(type=pers,person=3,gender=f,number=sg,position=pron)",59,15,57,29860
Algemeen Dagblad,komen,kwam,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",59,47,248,83680
Algemeen Dagblad,af,af,adp(type=post),59,45,248,83680
Algemeen Dagblad,ons,ons,"pd(type=pers|refl,person=1,number=pl,position=pron,case=acc|dat)",58,38,248,83680
Trouw,al,al,adv(),58,28,47,23970
Algemeen Dagblad,zoals,zoals,conj(type=sub),58,43,248,83680
