document: titleLevel2,hit text: lemma,hit text: word,hit text: pos_full,count,numberOfDocs,subcorpusSize.documents,subcorpusSize.numberOfTokens
Het Nieuwsblad,die,die,"pd(type=rel,position=pron)",641,360,954,142827
De Standaard,zijn,is,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",617,123,148,48749
Het Nieuwsblad,nog,nog,adv(),607,328,954,142827
De Ware Tijd,een,een,"pd(type=indef,subtype=art-indef)",601,74,76,28561
Het Belang van Limburg,de,de,"pd(type=d-p,subtype=art-def)",583,80,81,8993
De Ware Tijd,in,in,adp(type=pre),582,76,76,28561
Het Nieuwsblad,bij,bij,adp(type=pre),570,332,954,142827
De Standaard,op,op,adp(type=pre),568,119,148,48749
Het Nieuwsblad,hij,hij,"pd(type=pers,person=3,gender=m,number=sg,position=pron,case=nom)",563,238,954,142827
Gazet van Antwerpen,en,en,conj(type=coor),534,180,229,28264
Het Nieuwsblad,zijn,zijn,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",519,312,954,142827
Het Nieuwsblad,naar,naar,adp(type=pre),498,323,954,142827
Het Nieuwsblad,zijn,zijn,"pd(type=poss,person=3,number=sg,position=prenom)",460,240,954,142827
Het Nieuwsblad,dat,dat,"pd(type=dem,position=pron)",458,241,954,142827
De Standaard,te,te,adp(type=pre),456,113,148,48749
De Standaard,voor,voor,adp(type=pre),452,119,148,48749
Het Nieuwsblad,al,al,adv(),423,254,954,142827
De Standaard,met,met,adp(type=pre),410,110,148,48749
Het Nieuwsblad,worden,werd,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",408,264,954,142827
Het Nieuwsblad,na,na,adp(type=pre),406,240,954,142827
Het Nieuwsblad,tot,tot,adp(type=pre),400,272,954,142827
De Ware Tijd,te,te,adp(type=pre),395,60,76,28561
De Standaard,dat,dat,conj(type=sub),381,103,148,48749
De Standaard,niet,niet,adv(),381,98,148,48749
De Ware Tijd,zijn,is,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",380,64,76,28561
Het Nieuwsblad,tegen,tegen,adp(type=pre),378,215,954,142827
Het Nieuwsblad,zij,ze,"pd(type=pers,person=3,number=pl,position=pron)",363,194,954,142827
Gazet van Antwerpen,op,op,adp(type=pre),353,153,229,28264
Het Nieuwsblad,twee,twee,"num(type=card,position=prenom)",348,238,954,142827
Het Nieuwsblad,door,door,adp(type=pre),347,249,954,142827
De Standaard,er,er,"pd(type=pers,person=3,number=pl|sg,position=pron)",346,104,148,48749
Het Nieuwsblad,jaar,jaar,"nou-c(gender=n,number=sg)",345,213,954,142827
Het Nieuwsblad,uit,uit,adp(type=pre),342,241,954,142827
Het Nieuwsblad,jij,je,"pd(type=pers,person=2,number=sg,position=pron,case=nom)",341,157,954,142827
Het Nieuwsblad,kunnen,kan,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",340,231,954,142827
Het Nieuwsblad,nu,nu,adv(),325,201,954,142827
Het Nieuwsblad,geen,geen,"pd(type=indef,position=prenom)",323,203,954,142827
De Ware Tijd,met,met,adp(type=pre),320,70,76,28561
De Standaard,het,het,"pd(type=pers,person=3,gender=n,number=sg,position=pron)",316,101,148,48749
Het Nieuwsblad,als,als,conj(type=sub),315,197,954,142827
Het Nieuwsblad,wel,wel,adv(),302,183,954,142827
Het Nieuwsblad,hebben,heeft,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",293,200,954,142827
Het Nieuwsblad,worden,wordt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",289,201,954,142827
Het Nieuwsblad,meer,meer,"pd(type=indef,position=pron)",286,191,954,142827
De Standaard,om,om,adp(type=pre),280,98,148,48749
Het Nieuwsblad,van,van,nou-p(part-of-multiword=true),278,151,954,142827
Het Nieuwsblad,hebben,hebben,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",277,175,954,142827
Het Nieuwsblad,eerste,eerste,"num(type=ord,position=prenom)",274,198,954,142827
Gazet van Antwerpen,zijn,is,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",274,135,229,28264
Het Nieuwsblad,die,die,"pd(type=dem,position=prenom)",272,184,954,142827
Het Nieuwsblad,over,over,adp(type=pre),270,196,954,142827
De Standaard,maar,maar,conj(type=coor),265,91,148,48749
Gazet van Antwerpen,voor,voor,adp(type=pre),264,125,229,28264
Het Nieuwsblad,mijn,mijn,"pd(type=poss,person=1,number=sg,position=prenom)",264,109,954,142827
Het Nieuwsblad,of,of,conj(type=coor),264,175,954,142827
De Standaard,hij,hij,"pd(type=pers,person=3,gender=m,number=sg,position=pron,case=nom)",261,63,148,48749
De Standaard,ook,ook,adv(),260,97,148,48749
De Ware Tijd,op,op,adp(type=pre),258,66,76,28561
Het Nieuwsblad,dan,dan,adv(),251,159,954,142827
Het Belang van Limburg,een,een,"pd(type=indef,subtype=art-indef)",247,74,81,8993
De Ware Tijd,voor,voor,adp(type=pre),244,59,76,28561
Het Belang van Limburg,van,van,adp(type=pre),244,67,81,8993
Het Nieuwsblad,nieuw,nieuwe,"aa(degree=pos,position=prenom,formal=infl-e)",242,150,954,142827
Het Nieuwsblad,wij,wij,"pd(type=pers,person=1,number=pl,position=pron,case=nom)",239,112,954,142827
Gazet van Antwerpen,te,te,adp(type=pre),236,121,229,28264
Het Nieuwsblad,de,de,nou-p(part-of-multiword=true),234,146,954,142827
Het Nieuwsblad,zich,zich,"pd(type=refl,person=3,position=pron,case=acc|dat)",234,173,954,142827
De Standaard,aan,aan,adp(type=pre),234,99,148,48749
De Ware Tijd,dat,dat,conj(type=sub),232,54,76,28561
Gazet van Antwerpen,met,met,adp(type=pre),231,132,229,28264
Het Nieuwsblad,ons,onze,"pd(type=poss,person=1,number=pl,position=prenom)",230,145,954,142827
De Standaard,die,die,"pd(type=rel,position=pron)",230,91,148,48749
Het Nieuwsblad,zeggen,zegt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",224,160,954,142827
Het Nieuwsblad,deze,deze,"pd(type=dem,position=prenom)",222,163,954,142827
Het Nieuwsblad,als,als,adp(type=pre),221,165,954,142827
Het Nieuwsblad,hun,hun,"pd(type=poss,person=3,number=pl,position=prenom)",219,152,954,142827
Het Nieuwsblad,zullen,zal,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",218,148,954,142827
Het Belang van Limburg,en,en,conj(type=coor),216,63,81,8993
De Standaard,nog,nog,adv(),213,86,148,48749
Het Nieuwsblad,kunnen,kunnen,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",212,166,954,142827
Het Nieuwsblad,worden,worden,vrb(finiteness=ger|inf),211,162,954,142827
Het Nieuwsblad,zo,zo,adv(),211,153,954,142827
Starnieuws,de,de,"pd(type=d-p,subtype=art-def)",211,11,11,3035
Het Nieuwsblad,moeten,moet,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",207,147,954,142827
De Ware Tijd,aan,aan,adp(type=pre),204,57,76,28561
Het Belang van Limburg,in,in,adp(type=pre),204,69,81,8993
De Standaard,zijn,zijn,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",204,86,148,48749
Het Nieuwsblad,hebben,had,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",204,141,954,142827
Het Nieuwsblad,dit,dit,"pd(type=dem,position=prenom)",202,161,954,142827
De Standaard,ik,ik,"pd(type=pers,person=1,number=sg,position=pron,case=nom)",201,39,148,48749
Het Nieuwsblad,goed,goed,"aa(degree=pos,position=adv|pred)",197,140,954,142827
Het Nieuwsblad,toch,toch,adv(),196,137,954,142827
De Standaard,zijn,zijn,"pd(type=poss,person=3,number=sg,position=prenom)",196,69,148,48749
De Ware Tijd,om,om,adp(type=pre),195,53,76,28561
De Ware Tijd,niet,niet,adv(),191,50,76,28561
Het Belang van Limburg,het,het,"pd(type=d-p,subtype=art-def)",191,59,81,8993
De Standaard,bij,bij,adp(type=pre),189,79,148,48749
De Ware Tijd,het,het,"pd(type=pers,person=3,gender=n,number=sg,position=pron)",189,45,76,28561
Gazet van Antwerpen,er,er,"pd(type=pers,person=3,number=pl|sg,position=pron)",186,109,229,28264
De Standaard,wij,we,"pd(type=pers,person=1,number=pl,position=pron,case=nom)",185,57,148,48749
Het Nieuwsblad,een,een,"num(type=card,position=prenom)",183,135,954,142827
Het Nieuwsblad,wat,wat,"pd(type=w-p,position=pron)",181,128,954,142827
De Ware Tijd,ik,ik,"pd(type=pers,person=1,number=sg,position=pron,case=nom)",180,21,76,28561
Het Nieuwsblad,ons,ons,"pd(type=pers|refl,person=1,number=pl,position=pron,case=acc|dat)",179,116,954,142827
Het Nieuwsblad,drie,drie,"num(type=card,position=prenom)",175,136,954,142827
Het Nieuwsblad,dan,dan,conj(type=sub),174,131,954,142827
Het Nieuwsblad,daar,daar,"pd(type=dem,position=pron)",172,139,954,142827
Het Nieuwsblad,moeten,moeten,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",170,120,954,142827
Het Nieuwsblad,september,september,nou-p(number=sg),169,132,954,142827
De Standaard,naar,naar,adp(type=pre),167,75,148,48749
Het Nieuwsblad,zondag,zondag,nou-p(number=sg),166,131,954,142827
De Standaard,dat,dat,"pd(type=dem,position=pron)",166,78,148,48749
Het Nieuwsblad,uur,uur,"nou-c(gender=n,number=sg)",166,119,954,142827
De Ware Tijd,er,er,"pd(type=pers,person=3,number=pl|sg,position=pron)",165,51,76,28561
De Ware Tijd,ook,ook,adv(),164,49,76,28561
De Standaard,zij,ze,"pd(type=pers,person=3,number=pl,position=pron)",162,60,148,48749
De Standaard,hebben,heeft,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",162,80,148,48749
De Ware Tijd,zijn,zijn,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",160,48,76,28561
Gazet van Antwerpen,om,om,adp(type=pre),160,98,229,28264
De Standaard,zijn,was,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",160,67,148,48749
Het Nieuwsblad,op,op,adp(type=post),157,130,954,142827
Gazet van Antwerpen,dat,dat,conj(type=sub),156,89,229,28264
Het Nieuwsblad,tijdens,tijdens,adp(type=pre),154,121,954,142827
Gazet van Antwerpen,niet,niet,adv(),154,93,229,28264
Gazet van Antwerpen,aan,aan,adp(type=pre),151,101,229,28264
Het Nieuwsblad,haar,haar,"pd(type=poss,person=3,number=sg,position=prenom)",151,71,954,142827
De Ware Tijd,die,die,"pd(type=rel,position=pron)",149,54,76,28561
De Standaard,als,als,conj(type=sub),148,71,148,48749
Het Nieuwsblad,heel,heel,"aa(degree=pos,position=adv|pred)",148,115,954,142827
Het Nieuwsblad,tweede,tweede,"num(type=ord,position=prenom)",146,114,954,142827
Het Nieuwsblad,dat,dat,"pd(type=rel,position=pron)",146,120,954,142827
De Standaard,jaar,jaar,"nou-c(gender=n,number=sg)",145,71,148,48749
Het Nieuwsblad,willen,wil,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",144,109,954,142827
Gazet van Antwerpen,die,die,"pd(type=rel,position=pron)",144,96,229,28264
Het Nieuwsblad,zijn,waren,"vrb(finiteness=fin,mood=ind,tense=past,number=pl)",144,110,954,142827
Het Nieuwsblad,onder,onder,adp(type=pre),142,119,954,142827
Het Nieuwsblad,uit,uit,adp(type=post),142,117,954,142827
De Ware Tijd,hij,hij,"pd(type=pers,person=3,gender=m,number=sg,position=pron,case=nom)",141,37,76,28561
Het Nieuwsblad,ander,andere,"aa(degree=pos,position=prenom,formal=infl-e)",140,116,954,142827
De Ware Tijd,hebben,heeft,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",139,57,76,28561
De Standaard,tot,tot,adp(type=pre),139,73,148,48749
Het Nieuwsblad,seizoen,seizoen,"nou-c(gender=n,number=sg)",138,80,954,142827
Het Nieuwsblad,omdat,omdat,conj(type=sub),137,111,954,142827
Het Nieuwsblad,komen,kwam,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",136,110,954,142827
Het Nieuwsblad,worden,worden,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",135,111,954,142827
De Standaard,kunnen,kan,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",135,59,148,48749
Het Nieuwsblad,zijn,zijn,vrb(finiteness=ger|inf),134,105,954,142827
De Standaard,al,al,adv(),134,75,148,48749
Het Nieuwsblad,week,week,"nou-c(gender=f|m,number=sg)",134,106,954,142827
Het Nieuwsblad,te,te,adv(),132,109,954,142827
Het Nieuwsblad,keer,keer,"nou-c(gender=f|m|n,number=sg)",132,98,954,142827
De Standaard,door,door,adp(type=pre),131,74,148,48749
Gazet van Antwerpen,ook,ook,adv(),131,90,229,28264
Het Nieuwsblad,zullen,zou,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",131,93,954,142827
De Standaard,worden,wordt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",130,66,148,48749
Het Nieuwsblad,wat,wat,"pd(type=indef,position=pron)",130,97,954,142827
Het Nieuwsblad,wedstrijd,wedstrijd,"nou-c(gender=f|m,number=sg)",130,82,954,142827
Het Nieuwsblad,hebben,heb,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",130,80,954,142827
Het Nieuwsblad,tussen,tussen,adp(type=pre),129,103,954,142827
Gazet van Antwerpen,ik,ik,"pd(type=pers,person=1,number=sg,position=pron,case=nom)",129,34,229,28264
De Standaard,over,over,adp(type=pre),126,71,148,48749
Het Nieuwsblad,waar,waar,"pd(type=w-p,position=pron,case=acc|dat)",125,103,954,142827
Het Nieuwsblad,kunnen,kon,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",125,101,954,142827
Het Nieuwsblad,aan,aan,adp(type=post),124,112,954,142827
Het Nieuwsblad,maken,maken,vrb(finiteness=ger|inf),123,104,954,142827
Het Nieuwsblad,enkele,enkele,"pd(type=indef,position=prenom)",123,109,954,142827
De Ware Tijd,zijn,zijn,"pd(type=poss,person=3,number=sg,position=prenom)",122,45,76,28561
Gazet van Antwerpen,het,het,"pd(type=pers,person=3,gender=n,number=sg,position=pron)",122,77,229,28264
De Standaard,geen,geen,"pd(type=indef,position=prenom)",121,65,148,48749
De Standaard,zeggen,zegt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",121,61,148,48749
Het Nieuwsblad,alle,alle,"pd(type=indef,position=pron)",121,107,954,142827
Het Nieuwsblad,ploeg,ploeg,"nou-c(gender=f|m,number=sg)",121,80,954,142827
Het Nieuwsblad,zij,ze,"pd(type=pers,person=3,gender=f,number=sg,position=pron)",121,58,954,142827
Gazet van Antwerpen,hij,hij,"pd(type=pers,person=3,gender=m,number=sg,position=pron,case=nom)",121,62,229,28264
Het Nieuwsblad,vorig,vorig,"aa(degree=pos,position=prenom)",121,93,954,142827
Het Nieuwsblad,weer,weer,adv(),120,92,954,142827
De Ware Tijd,maar,maar,conj(type=coor),120,39,76,28561
Het Nieuwsblad,veel,veel,"pd(type=indef,position=prenom)",119,97,954,142827
De Standaard,meer,meer,"pd(type=indef,position=pron)",119,61,148,48749
De Standaard,of,of,conj(type=coor),118,54,148,48749
Het Nieuwsblad,toen,toen,conj(type=sub),118,92,954,142827
Het Nieuwsblad,dit,dit,"pd(type=dem,position=pron)",118,92,954,142827
Het Nieuwsblad,zeker,zeker,"aa(degree=pos,position=adv|pred)",118,88,954,142827
Het Nieuwsblad,via,via,adp(type=pre),117,94,954,142827
De Standaard,zich,zich,"pd(type=refl,person=3,position=pron,case=acc|dat)",117,68,148,48749
Het Nieuwsblad,zullen,zullen,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",116,96,954,142827
De Ware Tijd,suriname,suriname,nou-p(number=sg),115,40,76,28561
Gazet van Antwerpen,nog,nog,adv(),115,78,229,28264
Het Nieuwsblad,zaterdag,zaterdag,nou-p(number=sg),114,90,954,142827
Het Nieuwsblad,alleen,alleen,adv(),114,92,954,142827
Gazet van Antwerpen,maar,maar,conj(type=coor),114,72,229,28264
Het Nieuwsblad,mee,mee,adp(type=post),111,94,954,142827
De Standaard,uit,uit,adp(type=pre),111,67,148,48749
Het Nieuwsblad,komen,komt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",111,93,954,142827
Het Nieuwsblad,hier,hier,"pd(type=dem,position=pron)",109,68,954,142827
Het Nieuwsblad,want,want,conj(type=coor),109,91,954,142827
Het Nieuwsblad,dus,dus,adv(),109,86,954,142827
Gazet van Antwerpen,naar,naar,adp(type=pre),108,73,229,28264
De Standaard,worden,werd,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",108,56,148,48749
Het Nieuwsblad,hebben,hadden,"vrb(finiteness=fin,mood=ind,tense=past,number=pl)",108,84,954,142827
De Standaard,tegen,tegen,adp(type=pre),108,50,148,48749
De Ware Tijd,door,door,adp(type=pre),108,62,76,28561
Gazet van Antwerpen,zijn,zijn,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",107,77,229,28264
Het Nieuwsblad,zijn,ben,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",107,67,954,142827
Het Nieuwsblad,veel,veel,"pd(type=indef,position=pron)",106,88,954,142827
Het Nieuwsblad,af,af,adp(type=post),106,95,954,142827
Het Nieuwsblad,worden,werden,"vrb(finiteness=fin,mood=ind,tense=past,number=pl)",106,92,954,142827
Gazet van Antwerpen,hebben,heeft,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",105,81,229,28264
Het Belang van Limburg,zijn,is,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",105,44,81,8993
De Ware Tijd,over,over,adp(type=pre),103,38,76,28561
Het Nieuwsblad,gaan,gaat,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",102,88,954,142827
De Ware Tijd,uit,uit,adp(type=pre),102,41,76,28561
De Standaard,worden,worden,vrb(finiteness=ger|inf),102,56,148,48749
Het Nieuwsblad,tijd,tijd,"nou-c(gender=f|m,number=sg)",102,85,954,142827
Het Nieuwsblad,plaats,plaats,"nou-c(gender=f|m,number=sg)",101,93,954,142827
De Ware Tijd,naar,naar,adp(type=pre),101,47,76,28561
Het Nieuwsblad,gemeente,gemeente,"nou-c(gender=f|m,number=sg)",101,72,954,142827
Het Nieuwsblad,ter,ter,adp(type=pre),101,79,954,142827
Het Nieuwsblad,euro,euro,"nou-c(gender=f|m,number=sg)",99,72,954,142827
Het Nieuwsblad,u,u,"pd(type=pers,person=2,number=sg,position=pron,case=nom)",99,38,954,142827
Het Nieuwsblad,maar,maar,adv(),99,77,954,142827
Het Nieuwsblad,iets,iets,"pd(type=indef,position=pron)",98,82,954,142827
Het Nieuwsblad,toe,toe,adp(type=post),98,84,954,142827
Het Belang van Limburg,met,met,adp(type=pre),98,43,81,8993
Het Nieuwsblad,komen,komen,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",97,76,954,142827
Gazet van Antwerpen,zijn,was,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",97,60,229,28264
Het Nieuwsblad,groot,grote,"aa(degree=pos,position=prenom,formal=infl-e)",96,77,954,142827
Gazet van Antwerpen,bij,bij,adp(type=pre),95,72,229,28264
Het Belang van Limburg,op,op,adp(type=pre),95,49,81,8993
De Ware Tijd,zijn,was,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",95,34,76,28561
De Standaard,je,je,"pd(type=pers,person=2,number=sg,position=pron,case=nom)",95,36,148,48749
De Standaard,die,die,"pd(type=dem,position=prenom)",94,58,148,48749
De Standaard,nu,nu,adv(),94,51,148,48749
Het Nieuwsblad,mens,mensen,nou-c(number=pl),94,61,954,142827
Gazet van Antwerpen,door,door,adp(type=pre),94,71,229,28264
De Standaard,wel,wel,adv(),94,53,148,48749
Gazet van Antwerpen,zijn,zijn,"pd(type=poss,person=3,number=sg,position=prenom)",93,61,229,28264
Het Nieuwsblad,punt,punten,nou-c(number=pl),93,66,954,142827
Het Nieuwsblad,krijgen,kreeg,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",92,79,954,142827
Het Nieuwsblad,kunnen,kunnen,vrb(finiteness=ger|inf),92,78,954,142827
Het Nieuwsblad,gaan,ging,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",92,69,954,142827
De Standaard,hebben,hebben,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",91,54,148,48749
Gazet van Antwerpen,worden,werd,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",90,63,229,28264
Het Nieuwsblad,net,net,adv(),90,78,954,142827
Het Nieuwsblad,vooral,vooral,adv(),89,72,954,142827
De Standaard,zullen,zal,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",89,48,148,48749
Het Nieuwsblad,trainer,trainer,"nou-c(gender=f|m,number=sg)",89,69,954,142827
De Standaard,dan,dan,conj(type=sub),89,51,148,48749
De Standaard,zij,haar,"pd(type=poss,person=3,number=sg,position=prenom)",89,36,148,48749
Het Nieuwsblad,hij,hem,"pd(type=pers,person=3,gender=m,number=sg,position=pron,case=acc|dat)",88,63,954,142827
Het Nieuwsblad,ik,mij,"pd(type=pers|refl,person=1,number=sg,position=pron,case=acc|dat)",88,64,954,142827
De Standaard,twee,twee,"num(type=card,position=prenom)",87,45,148,48749
De Ware Tijd,bij,bij,adp(type=pre),87,46,76,28561
Starnieuws,van,van,adp(type=pre),87,11,11,3035
Het Nieuwsblad,politie,politie,"nou-c(gender=f|m,number=sg)",87,60,954,142827
Het Belang van Limburg,voor,voor,adp(type=pre),85,39,81,8993
Het Nieuwsblad,speler,spelers,nou-c(number=pl),85,54,954,142827
Het Nieuwsblad,moeten,moest,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",85,72,954,142827
Het Nieuwsblad,ik,me,"pd(type=pers|refl,person=1,number=sg,position=pron,case=acc|dat)",85,54,954,142827
Het Nieuwsblad,altijd,altijd,adv(),85,67,954,142827
Het Nieuwsblad,vanaf,vanaf,adp(type=pre),85,75,954,142827
De Standaard,moeten,moet,"vrb(finiteness=fin,mood=imp|ind,tense=pres,number=sg)",85,55,148,48749
Het Nieuwsblad,aldus,aldus,adv(),84,78,954,142827
Het Nieuwsblad,opnieuw,opnieuw,adv(),84,74,954,142827
Het Nieuwsblad,gaan,gaan,vrb(finiteness=ger|inf),84,76,954,142827
De Ware Tijd,hebben,hebben,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",84,34,76,28561
Het Nieuwsblad,volgens,volgens,adp(type=pre),84,60,954,142827
Gazet van Antwerpen,tot,tot,adp(type=pre),84,57,229,28264
De Standaard,na,na,adp(type=pre),83,53,148,48749
De Standaard,dat,dat,"pd(type=rel,position=pron)",83,56,148,48749
De Standaard,hun,hun,"pd(type=poss,person=3,number=pl,position=prenom)",83,45,148,48749
De Standaard,zij,ze,"pd(type=pers,person=3,gender=f,number=sg,position=pron)",82,34,148,48749
Gazet van Antwerpen,jaar,jaar,"nou-c(gender=n,number=sg)",82,56,229,28264
De Standaard,dan,dan,adv(),82,46,148,48749
Het Nieuwsblad,start,start,"nou-c(gender=f|m,number=sg)",81,69,954,142827
Het Nieuwsblad,snel,snel,"aa(degree=pos,position=adv|pred)",81,67,954,142827
Het Nieuwsblad,die,die,"pd(type=dem,position=pron)",81,72,954,142827
Het Nieuwsblad,willen,willen,"vrb(finiteness=fin,mood=ind,tense=pres,number=pl)",81,66,954,142827
Het Nieuwsblad,man,man,"nou-c(gender=f|m,number=sg)",81,55,954,142827
Het Nieuwsblad,zelfs,zelfs,adv(),80,66,954,142827
Het Nieuwsblad,in,in,adp(type=post),80,73,954,142827
Het Nieuwsblad,rust,rust,"nou-c(gender=f|m,number=sg)",80,58,954,142827
Het Nieuwsblad,eens,eens,adv(),80,63,954,142827
Het Nieuwsblad,goed,goede,"aa(degree=pos,position=prenom,formal=infl-e)",79,64,954,142827
Het Nieuwsblad,zelf,zelf,adv(),79,70,954,142827
Gazet van Antwerpen,zij,ze,"pd(type=pers,person=3,number=pl,position=pron)",79,47,229,28264
Gazet van Antwerpen,dat,dat,"pd(type=dem,position=pron)",78,60,229,28264
De Ware Tijd,worden,wordt,"vrb(finiteness=fin,mood=ind,tense=pres,number=sg,person=2|3,formal=infl-t)",78,39,76,28561
De Ware Tijd,worden,worden,vrb(finiteness=ger|inf),78,29,76,28561
Het Nieuwsblad,rond,rond,adp(type=pre),78,73,954,142827
Het Nieuwsblad,staan,stond,"vrb(finiteness=fin,mood=ind,tense=past,number=sg)",78,71,954,142827
De Ware Tijd,als,als,adp(type=pre),77,40,76,28561
